iter	AUC	Logloss
0	0.817400894	0.685034605
1	0.833849321	0.6771467461
2	0.8378564893	0.6695965106
3	0.8398459859	0.662060545
4	0.8412060839	0.6553019665
5	0.8424580228	0.6482863882
6	0.8437846628	0.6417710483
7	0.8441818021	0.6353380512
8	0.8445061867	0.6288301182
9	0.8451403121	0.6230038459
10	0.8460427498	0.6174090053
11	0.8461554503	0.6118483523
12	0.8461081828	0.6062515126
13	0.8465146829	0.6011884828
14	0.8470214642	0.5961651673
15	0.8474560468	0.5912775573
16	0.8483387434	0.5863309165
17	0.848576471	0.5815693827
18	0.8486566403	0.5770738719
19	0.8491998453	0.5727928415
20	0.8488712902	0.5688591775
21	0.8488997433	0.5646634096
22	0.8491296856	0.5608491725
23	0.8492941022	0.5569263599
24	0.8492162499	0.5531350485
25	0.8492203279	0.5498065593
26	0.8497269238	0.5464829196
27	0.8500576107	0.5430422462
28	0.8501916278	0.5394700366
29	0.850418697	0.5363154918
30	0.8504467794	0.5335233192
31	0.8503789367	0.5303011816
32	0.8506154594	0.5273659852
33	0.8509727458	0.5244923288
34	0.8509690385	0.5217371726
35	0.8509627362	0.5189409988
36	0.8510305789	0.5163833255
37	0.8509923015	0.5137847959
38	0.8512865646	0.5112579419
39	0.8512923109	0.508653191
40	0.851162279	0.5062850908
41	0.8513054716	0.5038614352
42	0.8515036242	0.5015858612
43	0.8516302269	0.4992194033
44	0.8517935313	0.4968751874
45	0.8518898272	0.4946875519
46	0.8521854805	0.4925407641
47	0.8522640742	0.4905510938
48	0.8523195903	0.488613174
49	0.8523423899	0.4866208899
50	0.8524919775	0.4846426726
51	0.8527740067	0.4830771476
52	0.8528259082	0.481329929
53	0.853139171	0.4794331254
54	0.8530273047	0.4778500668
55	0.853240657	0.4761323692
56	0.8533898739	0.4744438834
57	0.8536754249	0.4727843533
58	0.8536318647	0.4713240019
59	0.8538361343	0.4697807966
60	0.8541351241	0.4681327357
61	0.8543205794	0.4666175085
62	0.854320394	0.4651945046
63	0.8544125192	0.4638195323
64	0.854398617	0.4626302461
65	0.8545280001	0.4611703367
66	0.8546325446	0.4598178485
67	0.854871199	0.458506735
68	0.8550092014	0.4570991642
69	0.8552299682	0.4559700857
