iter	Passed	Remaining
0	144	9962
1	148	5061
2	152	3400
3	156	2583
4	160	2084
5	164	1752
6	168	1514
7	172	1333
8	175	1191
9	179	1076
10	183	985
11	188	908
12	191	841
13	195	782
14	199	730
15	203	687
16	208	649
17	212	613
18	216	581
19	220	550
20	223	522
21	227	497
22	231	473
23	235	452
24	239	431
25	243	412
26	247	393
27	250	375
28	253	358
29	257	343
30	261	329
31	266	316
32	270	303
33	274	290
34	278	278
35	282	266
36	285	254
37	289	243
38	293	233
39	297	222
40	300	212
41	304	203
42	308	193
43	312	184
44	316	175
45	320	167
46	324	158
47	327	150
48	331	142
49	335	134
50	339	126
51	342	118
52	346	111
53	350	103
54	353	96
55	357	89
56	361	82
57	364	75
58	367	68
59	371	61
60	375	55
61	378	48
62	382	42
63	386	36
64	390	30
65	394	23
66	397	17
67	401	11
68	405	5
69	409	0
